%      date         dc       rmrf        smb        hml         rf 
      1948   1.000153  -0.057022  -0.087364   0.122698   1.005815 
      1949   1.005761   0.073325  -0.097866   0.031967   1.008634 
      1950   1.005616   0.262168   0.072344  -0.038823   1.011056 
      1951   1.032057   0.339622  -0.001267   0.234568   1.012673 
      1952   1.004157   0.100778  -0.059255  -0.034619   1.015306 
      1953   1.046065   0.122392  -0.008016   0.039328   1.016828 
      1954   0.998017   0.060945  -0.059014  -0.065548   1.017031 
      1955   1.037187   0.448234  -0.002099   0.180916   1.008533 
      1956   1.032635   0.201245  -0.075901   0.021571   1.018148 
      1957   1.005610  -0.006000   0.025081  -0.012833   1.025697 
      1958   0.997844  -0.053552  -0.007759  -0.054556   1.030415 
      1959   1.033186   0.412825   0.098357   0.089261   1.015304 
      1960   1.022526   0.012640   0.029898  -0.020984   1.032060 
      1961   1.008480   0.155047   0.000391  -0.041757   1.023752 
      1962   1.025001   0.108287  -0.035805   0.085185   1.022325 
      1963   1.019715  -0.088919  -0.061216   0.086508   1.027746 
      1964   1.031959   0.194224  -0.086178   0.151063   1.031958 
      1965   1.041496   0.130157   0.053501   0.051144   1.035464 
      1966   1.056611   0.056784   0.228450   0.103376   1.040741 
      1967   1.024846  -0.049596   0.070790  -0.053813   1.048130 
      1968   1.030498   0.049031   0.291710   0.011257   1.042090 
      1969   1.037486   0.097971   0.164818   0.122515   1.054306 
      1970   1.028712  -0.139476  -0.103497  -0.072230   1.068138 
      1971   1.013404   0.033379  -0.027954   0.157279   1.059774 
      1972   1.029464   0.109815   0.043289  -0.100673   1.042089 
      1973   1.055882  -0.013463  -0.235162   0.075294   1.041570 
      1974   1.003362  -0.192921  -0.119427   0.312304   1.073140 
      1975   1.001003  -0.213171  -0.001813   0.061448   1.077946 
      1976   1.035940   0.233464   0.137738   0.201798   1.055880 
      1977   1.031969   0.010254   0.061022   0.105651   1.049801 
      1978   1.029876  -0.096270   0.246863   0.069213   1.053781 
      1979   1.026870   0.106494   0.145554  -0.018088   1.077734 
      1980   1.011266   0.193158   0.154283  -0.025514   1.105916 
      1981   1.001617   0.100493   0.093765  -0.163441   1.117226 
      1982   1.002177  -0.232638   0.044257   0.302319   1.142751 
      1983   1.029596   0.298056   0.158540   0.002351   1.100857 
      1984   1.037394  -0.005853   0.029581   0.315255   1.089687 
      1985   1.040988   0.105233  -0.020588   0.017725   1.095755 
      1986   1.030497   0.213364  -0.033141   0.052492   1.075705 
      1987   1.024248   0.202713  -0.083617  -0.015918   1.059038 
      1988   1.028532  -0.107558  -0.082348   0.095249   1.053674 
      1989   1.028552   0.053813   0.028619   0.110781   1.067925 
      1990   1.019663   0.072232  -0.113547  -0.035806   1.083535 
      1991   1.001901   0.046163  -0.079011  -0.155740   1.076880 
      1992   1.015890   0.146440   0.149782   0.022769   1.051997 
      1993   1.019240   0.063670  -0.041881   0.245723   1.033297 
      1994   1.021102   0.074067   0.102004   0.049097   1.029080 
      1995   1.014065   0.003168  -0.077249   0.001477   1.042816 
      1996   1.020746   0.280318  -0.030244  -0.030936   1.055986 
      1997   1.022409   0.167812  -0.056740   0.060529   1.052209 
      1998   1.031906   0.282932  -0.011964   0.041847   1.052313 
      1999   1.038557   0.085545  -0.241504  -0.107916   1.047294 
      2000   1.040367   0.194180   0.538819  -0.348969   1.048339 
      2001   1.029284  -0.219585  -0.218725   0.730864   1.059776 
      2002   1.014560  -0.119496   0.137673   0.153211   1.031747 
      2003   1.017924  -0.224871   0.057131   0.019022   1.015509 
      2004   1.026117   0.428786   0.226317   0.078632   1.009642 
      2005   1.025063   0.068933   0.009945   0.120766   1.013786 
      2006   1.023987   0.085889   0.059878   0.032183   1.033605 
      2007   1.021294   0.075483  -0.028498   0.132087   1.049488 
      2008   1.006378  -0.062515  -0.108472  -0.091034   1.041670 
      2009   0.977633  -0.455175   0.074036  -0.172297   1.013075 
      2010   0.999823   0.581858   0.107167   0.212421   1.000400 
